Instituto,Disciplina,Turma,Dia da Semana,Horário Inicio,Horário Fim,Sala,Docentes
IA,MU056,MU056 TN,Terça,12:00,14:00,DM35,Thais Lima Nicodemo
IA,MU057,MU057 DA,Segunda,14:00,16:00,,Vinicius De Sousa Fraga
IA,MU057,MU057 LH,Quinta,14:00,16:00,DM35,Lars Andreas Hoefs
IA,MU057,MU057 PT,Quinta,14:00,16:00,DM22,Paulo Jose De Siqueira Tine
IA,MU057,MU057 RM,Terça,16:00,18:00,DM04,Regina Machado
IA,MU057,MU057 TN,Terça,12:00,14:00,DM35,Thais Lima Nicodemo
IA,MU059,MU059 A,Terça,14:00,15:00,DM35,"Leandro Barsalini, Vinicius De Sousa Fraga"
IA,MU059,MU059 B,Terça,15:00,16:00,DM35,"Leandro Barsalini, Vinicius De Sousa Fraga"
IA,MU061,MU061 A,Terça,16:00,17:00,DM35,"Leandro Barsalini, Vinicius De Sousa Fraga"
IA,MU061,MU061 B,Terça,17:00,18:00,DM35,"Leandro Barsalini, Vinicius De Sousa Fraga"
IA,MU068,MU068 A,Terça,08:00,10:00,DM36,Adriana Do Nascimento Araujo Mendes
IA,MU120,MU120 A,Segunda,14:00,16:00,IA01,Carlos Fernando Fiorini
IA,MU179,MU179 A,Segunda,10:00,12:00,IA01,"Adonhiran Bernard De Almeida Reis, Carlos Fernando Fiorini, Emerson Luiz De Biaggi, Jose Alexandre Leme Lopes Carvalho, Lars Andreas Hoefs, Paulo Adriano Ronqui, Vinicius De Sousa Fraga"
IA,MU205,MU205 A,Segunda,08:00,10:00,CB15,Paulo Jose De Siqueira Tine
IA,MU212,MU212 A,Terça,16:00,18:00,DM22,Angelo Jose Fernandes
IA,MU214,MU214 A,Quarta,08:00,10:00,DM41,Luiz Henrique Xavier
IA,MU219,MU219 A,Segunda,08:00,10:00,DM22,Adriana Do Nascimento Araujo Mendes
IA,MU220,MU220 A,Segunda,14:00,16:00,IA01,Carlos Fernando Fiorini
